Obs,Date,HHMMSS,Machine,Plot,Species,SampleID,QC,VPDair,Tair,Press,Photo,PARi,Cond,RH_S,CO2S,Tleaf,Ci,BLCond,Trmmol,FTime,EBal,VpdL,CTleaf,Area,BLC_1,StmRat,TBlk,CO2R,H2OR,H2OS,RH_R,Flow,PARo,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,Trans,Tair_K,Twall_K,R.W.m2.,Tl.Ta,SVTleaf,CTair,SVTair,CndTotal,vp_kPa,CndCO2,Ci_Pa,Ci_Ca,RHsfc,AHs.Cs
3,20180724,12:59:56,Bernie,13_amb,ARLA2,BNL2975,,0.498451033,13.30811024,101.2782135,15.19485524,499.7507019,254.50442,74.23641205,389.8702698,15.31501484,286.4360078,4.486739352,1.466348989,434.9999913,0,0.607840351,15.31501484,2.25,2.243369676,1,11.42179585,400.0080566,10.30952644,11.24178028,68.08016968,349.9256592,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001466349,288.4650148,286.4581102,79.96011052,-0.03998131,1.746387775,14.31156254,1.636998456,0.24084292,1.138547423,0.151697372,29.00972715,0.734695692,66.58685425,0.026259589
4,20180724,13:00:31,Bernie,13_amb,ARLA2,BNL2975,,0.483783489,13.25634193,101.2785568,13.08012305,375.5946045,248.726842,74.40450287,390.6737061,15.0646143,299.3494506,4.486739352,1.37178747,469.9999905,0,0.581228681,15.0646143,2.25,2.243369676,1,11.38633347,399.4273071,10.35720158,11.22920513,68.62662506,349.9828186,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001371787,288.2146143,286.4063419,60.09513538,-0.143846051,1.718506371,14.16047812,1.621061179,0.235662649,1.13727769,0.148409703,30.31768034,0.766239053,67.49646966,0.022828426
5,20180724,13:01:32,Bernie,13_amb,ARLA2,BNL2975,,0.470527471,13.18036366,101.2763062,10.63643242,250.125412,244.921606,74.87736511,389.7646179,14.9172821,313.8795499,4.486739352,1.310448481,530.9999892,0,0.563441296,14.9172821,2.25,2.243369676,1,11.34599113,396.9320374,10.41179848,11.24491501,69.32982635,349.9334412,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001310448,288.0672821,286.3303637,40.02006502,-0.270496845,1.702284751,14.04882288,1.609370926,0.232243903,1.138843455,0.14624059,31.7885614,0.805305396,68.16766491,0.018756539
6,20180724,13:02:54,Bernie,13_amb,ARLA2,BNL2975,,0.473099522,13.46805668,101.2745819,6.61349785,125.3420181,256.852891,73.90904236,389.7588806,14.80422401,343.3690671,4.486739352,1.324782108,613.4999873,0,0.544521018,14.80422401,2.25,2.243369676,1,12.08118248,394.3434143,10.46770859,11.30991745,68.40531158,349.9188538,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001324782,287.954224,286.6180567,20.05472245,-0.396396094,1.689928179,14.13614035,1.618506683,0.24294499,1.145407161,0.153031769,34.77455871,0.880978174,69.09048376,0.011783557
7,20180724,13:03:37,Bernie,13_amb,ARLA2,BNL2975,,0.484996374,13.68989468,101.2727661,4.84790584,100.0408783,253.478362,73.20152283,390.359314,14.91320229,355.0134526,4.486739352,1.323764523,656.4999864,0,0.55089598,14.91320229,2.25,2.243369676,1,12.26095009,393.8086853,10.52328491,11.36476803,67.78145599,349.9322205,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001323765,288.0632023,286.8398947,16.00654017,-0.418241677,1.701837474,14.30154848,1.635937869,0.239923862,1.150941494,0.15111401,35.95319435,0.909453009,68.92261732,0.008591664
8,20180724,13:04:08,Bernie,13_amb,ARLA2,BNL2975,,0.487414672,13.75316811,101.2736206,4.165819023,88.70280457,247.709609,73.21038818,390.2059326,14.98760414,358.7255102,4.486739352,1.30301981,687.4999857,0,0.55418452,14.98760414,2.25,2.243369676,1,12.2595377,393.2115784,10.58459759,11.41290283,67.89705658,349.911377,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.00130302,288.1376041,286.9031681,14.19244841,-0.426004481,1.710010511,14.37038612,1.643240663,0.234749273,1.155825991,0.147830141,36.32943122,0.919323568,68.84658064,0.007373713
9,20180724,13:04:39,Bernie,13_amb,ARLA2,BNL2975,,0.486927573,13.76903725,101.2729721,3.674302657,80.48693085,243.180516,73.30406189,390.1946106,15.01284218,361.5833154,4.486739352,1.280711177,718.499985,0,0.554291619,15.01284218,2.25,2.243369676,1,12.25166035,392.8785095,10.62529469,11.43937111,68.0874176,349.9224854,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001280711,288.1628422,286.9190372,12.87790865,-0.429267337,1.71279073,14.39093971,1.645426684,0.230677817,1.158499111,0.145247107,36.61861701,0.926674294,68.86049709,0.006502735
10,20180724,13:05:10,Bernie,13_amb,ARLA2,BNL2975,,0.485259553,13.78035164,101.272171,2.963786469,69.83951569,238.011967,73.38328552,390.309021,15.00974083,366.1595333,4.486739352,1.249343641,749.4999843,0,0.551844677,15.00974083,2.25,2.243369676,1,12.25393581,392.5278931,10.66626549,11.46024799,68.29917908,349.983551,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001249344,288.1597408,286.9303516,11.17432226,-0.430587471,1.712448872,14.39504623,1.645863748,0.226021982,1.160604195,0.14229416,37.08177088,0.938127262,68.95757615,0.00524824
11,20180724,13:05:53,Bernie,13_amb,ARLA2,BNL2975,,0.483408038,13.78910255,101.2721786,2.623972276,59.50619507,227.729964,73.49921417,390.0208435,15.01307583,367.4703428,4.486739352,1.193378693,792.4999833,0,0.54971743,15.01307583,2.25,2.243369676,1,12.25407696,392.0073547,10.72634602,11.48488235,68.64485168,349.9191589,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001193379,288.1630758,286.9391026,9.520990998,-0.423962442,1.712816487,14.40108919,1.646507095,0.216729588,1.163099058,0.136403144,37.21452221,0.942181294,69.01600458,0.00465266
12,20180724,13:06:34,Bernie,13_amb,ARLA2,BNL2975,,0.483155962,13.81995964,101.2716217,2.054002938,51.44065857,227.866647,73.59934998,390.1542053,15.05108261,371.7697423,4.486739352,1.194707188,833.4999824,0,0.5499898,15.05108261,2.25,2.243369676,1,12.2596035,391.7744446,10.76442242,11.52367306,68.75017548,349.9653931,NA,-5.657405853,-0.212939188,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.001194707,288.2010826,286.9699596,8.230505187,-0.434819749,1.717010858,14.43552113,1.650177021,0.216853381,1.167021059,0.136481601,37.6497247,0.952878983,69.07601612,0.00364234
